feature,estimability_status,analytic_equivalence_status,relative_bias,n,pearson_r,spearman_rho,ccc,mean_bias,mae,rmse,ba_low,ba_high,icc_a1
gait_speed,OK,PASS,0.007131514699262639,252,0.998369394690317,0.9969017205977173,0.9980641471486111,0.8486281188769572,0.8858241128435038,2.2078812977726314,-3.1543436639554474,4.851599901709362,0.9980706854123574
cadence,OK,PASS,0.0001497701995792113,252,0.9996689092200871,0.999246753617452,0.999668085422951,-0.01659475325945696,0.04061000319303776,0.38209142999118867,-0.7662762463532161,0.7330867398343023,0.9996693996350416
step_length_mean,OK,PASS,0.002226630606505791,252,0.9952021525420747,0.9936952723072262,0.9951516844891909,0.14094557601844473,0.4041018873988403,1.3772189305191453,-2.5495739756902034,2.831465127727093,0.9951706311774929
stride_length_mean,OK,PASS,0.0019074438118789445,252,0.9956494572607029,0.9942366791514111,0.9956113303263675,0.24198256830821077,0.3430831838608928,2.6237833196368623,-4.888905604866881,5.372870741483302,0.99562852264869
step_time_mean,OK,PASS,0.0035113762035137355,252,0.9988346732120809,0.9982126313395421,0.9984916642876352,-0.0019283865012265076,0.003018711059825745,0.004048020103119366,-0.008918270160248699,0.005061497157795684,0.9984962886388888
stride_time_mean,OK,PASS,0.00011156062722600034,252,0.9995287677155976,0.9992478697687774,0.9995239572209649,0.00012263833188900117,0.0007173644153583388,0.004543521748222226,-0.00879713522135756,0.009042411885135564,0.9995258440137124
step_time_cv,OK,PASS,0.05418837635925709,252,0.9511903818863385,0.9281966402394757,0.9410572867617842,-0.252558260083168,0.44312185293236933,0.7339379243706069,-1.6059111534879036,1.1007946333215677,0.9412514664777513
stride_time_cv,OK,PASS,0.009147269400441384,252,0.969860279434946,0.9985178791840009,0.9633843589343093,0.03103015131184016,0.04141417098126373,0.47588695710329415,-0.901575569150292,0.9636358717739724,0.9635237662112468

