task,estimability_status,n_participants,icc_a1,icc_a1_ci_low,icc_a1_ci_high,mean_change_s2_minus_s1,mae,test_retest_status
HurriedPace,OK,45,0.3896412999326323,0.07274963111330356,0.6569568584094141,0.20573397950345523,0.8296188539263789,FAIL
SelfPace,OK,45,0.7066490213923714,0.4618984678444739,0.8438093245804393,0.07682563199862692,0.6146194321415951,FAIL

