level,delta_mae_favorable_fraction,delta_rmse_favorable_fraction,delta_spearman_rho_favorable_fraction,delta_pearson_r_favorable_fraction,delta_calibration_slope_favorable_fraction,delta_calibration_intercept_favorable_fraction
participant,0.44,0.66,0.98,0.91,0.6,0.61
row,0.52,0.25,0.99,0.77,0.21,0.22
