feature,status,n_participants,mean_change,median_change,srm,delta_anchor_spearman_rho,dataset
stride_amplitude_cm,OK,10,-0.8,-1.0,-0.13424800989288538,-0.28600627790670086,mendeley_gait
stride_amplitude_sd_cm,OK,10,0.3,0.0,0.06941585107686686,0.5036101551853349,mendeley_gait
gait_speed_m_s,OK,10,0.04,0.03500000000000003,0.6687338550904239,-0.036084391824351615,mendeley_gait
stride_speed_sd,OK,10,-0.8,-0.5,-0.21587482888834636,0.6435141252900769,mendeley_gait
speed_correlation,OK,10,0.02799999999999998,0.0,0.2819490523814563,-0.3207745960381131,mendeley_gait
foot_lift_cm,OK,10,-0.14399999999999985,0.02499999999999991,-0.06828314556442572,0.21320071635561041,mendeley_gait
foot_lift_sd_cm,OK,10,0.11299999999999999,0.12,0.36983309770175427,-0.5346243267301884,mendeley_gait
arm_swing_indicator,OK,10,-0.318,-0.29999999999999993,-1.1376830716366961,-0.5755544630689542,mendeley_gait
