feature,anchor_used,n_rows,n_participants,status,within_effect,ci_low,ci_high,p_value,between_effect,q_value,dataset,anchor_compatibility
gait_speed,mdsscore3,2079,574,OK,-0.0006783848907450716,-0.0011141126445951162,-0.00024265713689502712,0.0022772417891732837,-0.002898536645120368,0.0045544835783465675,mobilised_cvs,broad_motor
stride_length_mean,mdsscore3,2079,574,OK,-0.06814234515369812,-0.10605509133182012,-0.030229598975576116,0.0004271188571254006,-0.3170242734258844,0.0017084754285016024,mobilised_cvs,broad_motor
cadence,mdsscore3,2079,574,OK,-0.01136523145045297,-0.03828606896057592,0.015555606059669973,0.4079863164118098,-0.022013715984253734,0.5439817552157464,mobilised_cvs,broad_motor
stride_time_mean,mdsscore3,2079,574,OK,7.583215170303145e-05,-0.00027710754224939324,0.00042877184565545613,0.6736709288302696,0.00012301087383096072,0.6736709288302696,mobilised_cvs,broad_motor
