task,endpoint,aggregation,estimability_status,n_participants,icc_a1,icc_a1_ci_low,icc_a1_ci_high,mean_change_s2_minus_s1,mae,test_retest_status,person_variance,session_variance,pass_variance,generalizability_coefficient,sem,mdc95,n_passes
HurriedPace,context_adjusted_gait_deviation_v1_median_4pass,featurewise_median,OK,44,0.28157539438403584,-0.0012443574092579754,0.5474938115012996,0.25865621436433117,0.8659043394389584,FAIL,0.29083108755155546,0.2282559025295567,1.0593805110747592,0.37099014178581907,0.7022115281724207,1.9464310509205012,4
SelfPace,context_adjusted_gait_deviation_v1_median_4pass,featurewise_median,OK,45,0.6474215603057999,0.33075118367363593,0.8191705775383623,0.05131336483306421,0.7185346070110866,FAIL,0.9645085822218684,0.2937615129610723,0.7604339337976367,0.6659229820511555,0.6956076454514294,1.9281260219241405,4
