feature,estimability_status,n_participants,n_rows,within_effect,within_ci_low,within_ci_high,within_p_value,between_effect
gait_speed,OK,574,2079,-0.033483953240271605,-0.05524774091763604,-0.011720165562907173,0.0025660878337452997,-0.2429289169550837
stride_length_mean,OK,574,2079,-0.03305761353313293,-0.05167950642122295,-0.014435720645042914,0.0005026670286495499,-0.2590517987731168
cadence,OK,574,2079,-0.011736554055597221,-0.039342305246562376,0.01586919713536793,0.40468881648762567,-0.042366936774781705
stride_time_mean,OK,574,2079,0.005922760084752395,-0.021761545876782026,0.03360706604628681,0.6749872103784216,0.01775270260530377
