removed_feature,effect,ci_low,ci_high,speed_adjusted_effect,speed_adjusted_ci_low,speed_adjusted_ci_high,same_direction_as_full_score,relative_effect_change
gait_speed,0.2801457522013194,0.06171319082755178,0.498578313575087,0.25576059039913956,0.057644256819030376,0.4538769239792487,True,-0.06908348207184896
cadence,0.26937094954230406,0.04472965577386179,0.49401224331074634,0.22743746293556502,0.03637341675725567,0.4185015091138744,True,-0.10488785066882632
step_length_mean,0.3330764430820338,0.11410665149455848,0.5520462346695092,0.298162108973667,0.09738011928377197,0.49894409866356204,True,0.10680372685072834
stride_length_mean,0.325817886393376,0.10761044769963862,0.5440253250871134,0.28926834862785983,0.09066080263220322,0.48787589462351644,True,0.08268374550282766
step_time_mean,0.3550715536430365,0.10795339141945301,0.60218971586662,0.3257324683330145,0.09408219738858872,0.5573827392774403,True,0.17989286553657588
stride_time_mean,0.3641614278442165,0.11373377755228986,0.6145890781361432,0.336872858483321,0.1011063211323647,0.5726393958342773,True,0.21009826388110084
step_time_cv,0.2637271632079873,0.06965204350691956,0.457802282909055,0.26066610161695175,0.0693894615745154,0.4519427416593881,True,-0.1236419951846321
stride_time_cv,0.36019254310428506,0.11404866315519857,0.6063364230533715,0.33300798511666996,0.10232982654982836,0.5636861436835116,True,0.1969097706302731
