covariance_method,effect,ci_low,ci_high,speed_adjusted_effect,speed_adjusted_ci_low,speed_adjusted_ci_high,association_status,speed_adjusted_status
sample,0.30093541881157304,0.08855145928250918,0.5133193783406369,0.2788099205839509,0.0827776443219296,0.4748421968459722,OK,OK
ledoit_wolf,0.38036384517574195,0.10407977354687276,0.6566479168046111,0.32413112106774616,0.09132946803988631,0.556932774095606,OK,OK
