fold,n_train_control_participants,n_heldout_control_participants,n_heldout_rows,score_mean,score_sd
1,52,13,26,2.98778833935399,1.3785285582387121
2,52,13,26,3.150362354084304,1.5880177138223814
3,52,13,26,2.719457841945619,0.8887095877713633
4,52,13,26,3.2325951024521675,4.594010769953218
5,52,13,25,2.25160774054479,0.781365958044843
